SpeciesID,ScientificName,Scientific.Name.with.Author,CommonNameA,CommonNameB,Family,WetlandStatus
ACBL,Achnatherum ×bloomeri,Achnatherum ×bloomeri (Bol.) Barkworth,,,Poaceae,
ORBL,Oryzopsis bloomeri,Oryzopsis bloomeri (Bol.) Ricker,,,,
STBL4,Stipa bloomeri,Stipa bloomeri Bol.,,,,
STBL5,Stiporyzopsis bloomeri,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,,,,
ACBO4,Acacia boomanii,Acacia boomanii Maiden,Snowy River wattle,,Fabaceae,
ACBR3,Acacia brachybotrya,Acacia brachybotrya Benth.,gray mulga,,Fabaceae,
ACBR5,Achnatherum brachychaetum,Achnatherum brachychaetum (Godr.) Barkworth,shortbristled needlegrass,,Poaceae,
NABR2,Nassella brachychaeta,Nassella brachychaeta (Godr.) Barkworth,,,,
STBR3,Stipa brachychaeta,Stipa brachychaeta Godr.,,,,
ACBR6,Achnatherum bromoides,Achnatherum bromoides (L.) P. Beauv.,,,Poaceae,
STAR14,Stipa aristella,Stipa aristella L.,,,,
STBR8,Stipa bromoides,Stipa bromoides (L.) Dorfl.,,,,
ACBU2,Acarospora bullata,Acarospora bullata Anzi,cracked lichen,,Acarosporaceae,
ACBU3,Acacia buxifolia,Acacia buxifolia A. Cunn.,,,Fabaceae,
ACBU4,Acer buergerianum,Acer buergerianum Miq.,trident maple,,Aceraceae,
ACCA14,Acarospora caesiofusca,Acarospora caesiofusca (Müll. Arg.) H. Magn.,cracked lichen,,Acarosporaceae,
ACCA15,Acarospora californica,Acarospora californica Zahlbr.,California cracked lichen,,Acarosporaceae,
ACCA16,Acarospora canadensis,Acarospora canadensis H. Magn.,Canada cracked lichen,,Acarosporaceae,
ACCA17,Acarospora carnegiei,Acarospora carnegiei Zahlbr.,Carnegie's cracked lichen,,Acarosporaceae,
ACCA18,Acrocordia cavata,Acrocordia cavata (Ach.) R.C. Harris,acrocordia lichen,,Monoblastiaceae,
ARCA40,Arthopyrenia cavata,Arthopyrenia cavata (Ach.) R.C. Harris,,,,
ACCA20,Aconitum carmichaelii,Aconitum carmichaelii Debeaux,Carmichael's monkshood,,Ranunculaceae,
ACCA23,Acacia caesiella,Acacia caesiella Maiden & Blakely,,,Fabaceae,
ACCA24,Acacia calamifolia,Acacia calamifolia Sweet ex Lindl.,broom wattle,,Fabaceae,
ACCA25,Acacia cambagei,Acacia cambagei R.T. Baker,gidgee,,Fabaceae,
ACCA27,Acacia cardiophylla,Acacia cardiophylla A. Cunn. ex Benth.,wyalong wattle,,Fabaceae,
ACCA29,Achillea cartilaginea,Achillea cartilaginea Ledeb. ex Rchb.,,,Asteraceae,
ACCA3,Acalypha californica,Acalypha californica Benth.,California copperleaf,,Euphorbiaceae,
ACPR,Acalypha pringlei,Acalypha pringlei S. Watson,,,,
ACCA30,Achnatherum calamagrostis,Achnatherum calamagrostis (L.) P. Beauv.,,,Poaceae,
ACCA31,Achnatherum caudatum,Achnatherum caudatum (Trin.) S.L.W. Jacobs & J. Everett,Chilean ricegrass,,Poaceae,
STLI4,Stipa littoralis,Stipa littoralis Phil.,,,,
ACCA32,×Achnella caduca,×Achnella caduca (Beal) Barkworth,Mandan ricegrass,,Poaceae,
ORCA9,Oryzopsis caduca,Oryzopsis caduca Beal,,,,
STCA13,×Stiporyzopsis caduca,×Stiporyzopsis caduca (Beal) B.L. Johnson & Rogler,,,,
STCA22,Stipa caduca,Stipa caduca (Beal) Scribn.,,,,
ACCA34,Achnatherum capense,Achnatherum capense (Thunb.) P. Beauv.,Cape ricegrass,,Poaceae,
STCA25,Stipa capensis,Stipa capensis Thunb.,,,,
STTO8,Stipa tortilis,Stipa tortilis Desf.,,,,
ACCA36,Achnatherum caragana,Achnatherum caragana (Trin.) Nevski,,,Poaceae,
LACA13,Lasiagrostis caragana,Lasiagrostis caragana (Trin.) Trin. & Rupr.,,,,
STCA27,Stipa caragana,Stipa caragana Trin.,,,,
ACCA4,Acorus calamus,Acorus calamus L.,calamus,Single-Vein Sweetflag,Acoraceae,OBL
ACCA5,Acer campestre,Acer campestre L.,hedge maple,,Aceraceae,
ACCA6,Achlys californica,Achlys californica I. Fukuda & H.G. Baker,deer's foot,,Berberidaceae,
ACCE,Acarospora cervina,Acarospora cervina A. Massal.,cracked lichen,,Acarosporaceae,
ACCH2,Acalypha chamaedryfolia,Acalypha chamaedryfolia (Lam.) Müll. Arg.,bastard copperleaf,,Euphorbiaceae,
ACCH5,Actinidia chinensis,Actinidia chinensis Planch.,kiwi,,Actinidiaceae,
ACCH6,Achillea chrysocoma,Achillea chrysocoma Friv.,,,Asteraceae,
ACCH8,Acacia chinchillensis,Acacia chinchillensis Tindale,Chinchilla wattle,,Fabaceae,
ACCH7,Acacia chinchellensis,"Acacia chinchellensis Tindale, orth. var.",,,,
ACCHD,Actinidia chinensis,Actinidia chinensis Planch. var. deliciosa (A. Chev.) A. Chev.,kiwi,,Actinidiaceae,
ACCI,Acer circinatum,Acer circinatum Pursh,vine maple,Vine Maple,Aceraceae,
ACCI2,Acarospora cinereoalba,Acarospora cinereoalba (Fink) H. Magn.,cracked lichen,,Acarosporaceae,
ACCI3,Acrobolbus ciliatus,Acrobolbus ciliatus (Mitt.) Schiffn.,,,Acrobolbaceae,
ACCI4,Acarospora citrina,Acarospora citrina (Taylor) Zahlbr.,,,Acarosporaceae,
ACCI5,Acer cissifolium,Acer cissifolium (Siebold & Zucc.) K. Koch,ivyleaf maple,,Aceraceae,
ACCI6,Acacia cibaria,Acacia cibaria F. Muell.,turpentine mulga,,Fabaceae,
ACBR4,Acacia brachystachya,Acacia brachystachya auct.,,,,
ACCL3,Achillea clavennae,Achillea clavennae L.,,,Asteraceae,
ACCL4,Achillea clusiana,Achillea clusiana Tausch,,,Asteraceae,
ACCL5,Achillea clypeolata,Achillea clypeolata Sm.,,,Asteraceae,
ACCL6,Acarospora clauzadeana,Acarospora clauzadeana (Llimona) Casares & Hafellner,,,Acarosporaceae,
BICL2,Biatorella clauzadeana,Biatorella clauzadeana Llimona,,,,
ACCL7,Achnatherum clandestinum,Achnatherum clandestinum (Hack.) Barkworth,Mexican ricegrass,,Poaceae,
STCL5,Stipa clandestina,Stipa clandestina Hack.,,,,
ACCO,Acacia confusa,Acacia confusa Merr.,small Philippine acacia,Small Philippine Wattle,Fabaceae,
ACCO10,Acarospora coloradiana,Acarospora coloradiana H. Magn.,Colorado cracked lichen,,Acarosporaceae,
ACCO11,Acarospora complanata,Acarospora complanata H. Magn.,cracked lichen,,Acarosporaceae,
ACOB6,Acarospora obscura,Acarospora obscura H. Magn.,,,,
ACCO12,Acrocordia conoidea,Acrocordia conoidea (Fr.) Körb.,acrocordia lichen,,Monoblastiaceae,
ARCO31,Arthopyrenia conoidea,Arthopyrenia conoidea (Fr.) Zahlbr.,,,,
ACCO15,Acacia cognata,Acacia cognata Domin,bower wattle,,Fabaceae,
ACCO16,Acacia colletioides,Acacia colletioides A. Cunn. ex Benth.,,,Fabaceae,
ACCO17,Acacia conspersa,Acacia conspersa F. Muell.,,,Fabaceae,
ACCO18,Acacia continua,Acacia continua Benth.,thorn wattle,,Fabaceae,
ACCO19,Achillea collina,Achillea collina Becker ex Rchb.,,,Asteraceae,
ACCO20,Achillea conferta,Achillea conferta DC.,,,Asteraceae,
ACCO21,Achnatherum coronatum,Achnatherum coronatum (Thurb.) Barkworth,giant ricegrass,,Poaceae,
STCO5,Stipa coronata,Stipa coronata Thurb.,,,,
ACCO22,Achnatherum contractum,Achnatherum contractum (B.L. Johnson) Barkworth,contracted ricegrass,,Poaceae,
ORCO3,Oryzopsis contracta,Oryzopsis contracta (B.L. Johnson) Schltr.,,,,
ORHYC,Oryzopsis hymenoides,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper var. contracta B.L. Johnson,,,,
STCO11,Stipa contracta,Stipa contracta (B.L. Johnson) W.A. Weber,,,,
ACCO3,Achyronychia cooperi,Achyronychia cooperi Torr. & A. Gray,onyxflower,,Caryophyllaceae,
ACCO4,Aconitum columbianum,Aconitum columbianum Nutt.,Columbian monkshood,Columbian Monkshood,Ranunculaceae,
ACCOC3,Aconitum columbianum,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Columbian Monkshood,Ranunculaceae,
ACCOB,Aconitum columbianum,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Columbian Monkshood,,
ACCOO,Aconitum columbianum,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Columbian Monkshood,,
ACCOP,Aconitum columbianum,Aconitum columbianum Nutt. ssp. pallidum Piper,,Columbian Monkshood,,
ACGE3,Aconitum geranioides,Aconitum geranioides Greene,,,,
ACLE6,Aconitum leibergii,Aconitum leibergii Greene,,,,
ACMO3,Aconitum mogollonicum,Aconitum mogollonicum Greene,,,,
ACCOV2,Aconitum columbianum,Aconitum columbianum Nutt. ssp. viviparum (Greene) D.E. Brink,Columbian monkshood,Columbian Monkshood,Ranunculaceae,
ACBU,Aconitum bulbiferum,Aconitum bulbiferum Howell,,,,
ACCOH,Aconitum columbianum,Aconitum columbianum Nutt. var. howellii (A. Nelson & J.F. Macbr.) C.L. Hitchc.,,Columbian Monkshood,,
ACHA2,Aconitum hansenii,Aconitum hansenii Greene,,,,
ACHO,Aconitum howellii,Aconitum howellii A. Nelson & J.F. Macbr.,,,,
ACVI5,Aconitum viviparum,Aconitum viviparum Greene,,,,
ACCR,Acleisanthes crassifolia,Acleisanthes crassifolia A. Gray,Texas trumpets,,Nyctaginaceae,
ACCR2,Acacia craspedocarpa,Acacia craspedocarpa F. Muell.,,,Fabaceae,
ACCR3,Achillea crithmifolia,Achillea crithmifolia Waldst. & Kit.,,,Asteraceae,
ACCU4,Acacia cultriformis,Acacia cultriformis A. Cunn. ex G. Don,knife acacia,,Fabaceae,
ACCU5,Acacia cupularis,Acacia cupularis Domin,,,Fabaceae,
ACCU6,Achnatherum curvifolium,Achnatherum curvifolium (Swallen) Barkworth,Guadalupe ricegrass,,Poaceae,
STCU2,Stipa curvifolia,Stipa curvifolia Swallen,,,,
ACCY2,Acacia cyclops,Acacia cyclops A. Cunn. ex G. Don,coastal wattle,,Fabaceae,
ACDA,Acrostichum danaeifolium,Acrostichum danaeifolium Langsd. & Fisch.,inland leatherfern,Inland Leather Fern,Pteridaceae,OBL
ACEX2,Acrostichum excelsum,Acrostichum excelsum Maxon,,,,
ACDE,Acacia decurrens,Acacia decurrens (Wendl. f.) Willd.,green wattle,,Fabaceae,
MIDE17,Mimosa decurrens,Mimosa decurrens Wendl. f.,,,,
ACDE11,Acacia deanei,"Acacia deanei (R.T. Baker) R.T. Baker ex M.B. Welch, Coombs & McGlymn",Deane's wattle,,Fabaceae,
ACDE12,Acacia decora,Acacia decora Rchb.,graceful wattle,,Fabaceae,
ACDE2,Aconitum delphiniifolium,Aconitum delphiniifolium DC.,larkspurleaf monkshood,Larkspur-Leaf Monkshood,Ranunculaceae,
ACDE3,Acacia dealbata,Acacia dealbata Link,silver wattle,,Fabaceae,
ACDED,Acacia decurrens,Acacia decurrens (Wendl. f.) Willd. var. dealbata (Link) F. Muell.,,,,
ACDE4,Acalypha deamii,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,,Euphorbiaceae,
ACRHD,Acalypha rhomboidea,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Common Three-Seed-Mercury,,FAC
ACVID,Acalypha virginica,Acalypha virginica L. var. deamii Weath.,,Virginia Three-Seed-Mercury,,FACU
ACDE5,Acmella decumbens,Acmella decumbens (Sm.) R.K. Jansen,creeping spotflower,,Asteraceae,
SPAMS,Spilanthes americana,Spilanthes americana (Mutis ex L. f.) Hieron. var. stolonifera (DC.) A.H. Moore,,,,
SPST4,Spilanthes stolonifera,Spilanthes stolonifera DC.,,,,
ACDE9,Acarospora desolata,Acarospora desolata H. Magn.,cracked lichen,,Acarosporaceae,
ACDEC,Aconitum delphiniifolium,Aconitum delphiniifolium DC. ssp. chamissonianum (Rchb.) Hultén,larkspurleaf monkshood,Larkspur-Leaf Monkshood,Ranunculaceae,
ACDED3,Aconitum delphiniifolium,Aconitum delphiniifolium DC. ssp. delphiniifolium,larkspurleaf monkshood,Larkspur-Leaf Monkshood,Ranunculaceae,
ACDEA,Aconitum delphiniifolium,Aconitum delphiniifolium DC. var. albiflorum A.E. Porsild,,Larkspur-Leaf Monkshood,,
ACDEP,Aconitum delphiniifolium,Aconitum delphiniifolium DC. ssp. paradoxum (Rchb.) Hultén,larkspurleaf monkshood,Larkspur-Leaf Monkshood,Ranunculaceae,
ACNI3,Aconitum nivatum,Aconitum nivatum A. Nelson,,,,
ACDEP2,Acacia deanei,"Acacia deanei (R.T. Baker) R.T. Baker ex M.B. Welch, Coombs & McGlymn ssp. paucijuga (Wakef.) Tindale",,,Fabaceae,
ACPA10,Acacia paucijuga,Acacia paucijuga Wakef.,,,,
ACDI10,Achnatherum diegoense,Achnatherum diegoense (Swallen) Barkworth,San Diego needlegrass,San Diego Rice Grass,Poaceae,
STDI,Stipa diegoensis,Stipa diegoensis Swallen,,,,
ACDI12,Acer diabolicum,Acer diabolicum Blume ex K. Koch [excluded],,,Aceraceae,
ACDI13,Actinostachys digitata,Actinostachys digitata (L.) Wall.,,,Schizaeaceae,
SCDI9,Schizaea digitata,Schizaea digitata (L.) Sw.,,,,
ACDI4,Acarospora dispersa,Acarospora dispersa H. Magn.,cracked lichen,,Acarosporaceae,
ACDI6,Achillea distans,Achillea distans Waldst. & Kit. ex Willd.,Alps yarrow,,Asteraceae,
ACDE10,Achillea dentifera,Achillea dentifera DC.,,,,
ACDI7,Acacia dietrichiana,Acacia dietrichiana F. Muell.,,,Fabaceae,
ACDI8,Acacia difformis,Acacia difformis R.T. Baker,drooping wattle,,Fabaceae,
ACDIT,Achillea distans,Achillea distans Waldst. & Kit. ex Willd. ssp. tanacetifolia (All.) Janch.,,,Asteraceae,
ACTA2,Achillea tanacetifolia,Achillea tanacetifolia All.,,,,
ACDO2,Acacia doratoxylon,Acacia doratoxylon A. Cunn.,spearwood,,Fabaceae,
ACDR2,Acacia drummondii,Acacia drummondii Lindl.,Drummond's wattle,,Fabaceae,
ACDU2,Acanthomintha duttonii,Acanthomintha duttonii (Abrams) Jokerst,San Mateo thorn-mint,,Lamiaceae,
ACOBD,Acanthomintha obovata,Acanthomintha obovata Jeps. ssp. duttonii Abrams,,,,
ACDU3,Acacia dunnii,Acacia dunnii Turrill,,,Fabaceae,
ACEB3,Acanthus ebracteatus,Acanthus ebracteatus Vahl,acanthus,,Acanthaceae,
ACILE,Acanthus ilicifolius,Acanthus ilicifolius L. var. ebracteatus (Vahl) Benoist,,,,
ACEL,Acacia elata,Acacia elata A. Cunn. ex Benth.,cedar wattle,,Fabaceae,
ACEL2,Acarospora elevata,Acarospora elevata H. Magn.,cracked lichen,,Acarosporaceae,
ACEL4,Actaea elata,Actaea elata (Nutt.) Prantl,tall bugbane,,Ranunculaceae,
CIEL,Cimicifuga elata,Cimicifuga elata Nutt.,,,,
ACEM4,Achnatherum eminens,Achnatherum eminens (Cav.) Barkworth,southwestern needlegrass,,Poaceae,
STEM2,Stipa eminens,Stipa eminens Cav.,,,,
ACER,Acer L.,Acer L.,maple,,Aceraceae,
ACER4,Acacia erioloba,Acacia erioloba E. Mey.,camelthorn,,Fabaceae,
ACER7,Achillea erba-rotta,Achillea erba-rotta All.,,,Asteraceae,
ACERR,Achillea erba-rotta,Achillea erba-rotta All. ssp. rupestris (Porta) I. Richardson,,,Asteraceae,
ACRU13,Achillea rupestris,Achillea rupestris Porta,,,,
ACES2,Acacia estrophiolata,Acacia estrophiolata F. Muell.,,,Fabaceae,
ACEX,Acaena exigua,Acaena exigua A. Gray,liliwai,Liliwai,Rosaceae,
ACEXG,Acaena exigua,Acaena exigua A. Gray var. glaberrima Bitter,,Liliwai,,
ACEXG2,Acaena exigua,Acaena exigua A. Gray var. glabriuscula Bitter,,Liliwai,,
ACEXS,Acaena exigua,Acaena exigua A. Gray var. subtusstrigulosa Bitter,,Liliwai,,
ACEX3,Acacia extensa,Acacia extensa Lindl.,,,Fabaceae,
ACFE,Aconitum ferox,Aconitum ferox Wall. ex Ser.,Indian aconite,,Ranunculaceae,
ACFE2,Aciphylla ferox,Aciphylla ferox W.R.B. Oliv.,fierce Spaniard,,Apiaceae,
ACFI,Achillea filipendulina,Achillea filipendulina Lam.,fernleaf yarrow,,Asteraceae,
ACFI3,Aconitum fischeri,Aconitum fischeri Rchb.,Fischer monkshood,,Ranunculaceae,
ACFI4,Acacia fimbriata,Acacia fimbriata A. Cunn. ex G. Don,fringed wattle,,Fabaceae,
ACFL,Acer floridanum,Acer floridanum (Chapm.) Pax,southern sugar maple,,Aceraceae,
ACBA3,Acer barbatum,Acer barbatum Michx. p.p.,,,,
ACBAL,Acer barbatum,Acer barbatum Michx. var. longii (Fernald) Fernald,,,,
ACBAV,Acer barbatum,Acer barbatum Michx. var. villipes (Rehder) Ashe,,,,
ACFLL,Acer floridanum,Acer floridanum (Chapm.) Pax var. longii Fernald,,,,
ACFLV,Acer floridanum,Acer floridanum (Chapm.) Pax var. villipes Rehder,,,,
ACNIF,Acer nigrum,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Black Maple,,UPL
ACSAF,Acer saccharum,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Sugar Maple,,FACU
ACSAF2,Acer saccharinum,Acer saccharinum L. var. floridanum Chapm.,,Silver Maple,,FAC
ACSAF3,Acer saccharum,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Sugar Maple,,FACU
SABA13,Saccharodendron barbatum,Saccharodendron barbatum (Michx.) Nieuwl.,,,,
SAFL8,Saccharodendron floridanum,Saccharodendron floridanum (Chapm.) Nieuwl.,,,,
ACFL6,Acacia floribunda,Acacia floribunda (Vent.) Willd.,,,Fabaceae,
ACFR,Acer ×freemanii,Acer ×freemanii A.E. Murray,Freeman maple,,Aceraceae,
ACFU2,Acarospora fuscata,Acarospora fuscata (Schrad.) Arnold,cracked lichen,,Acarosporaceae,
ACCA19,Acarospora cartilaginea,Acarospora cartilaginea H. Magn.,,,,
ACSQ2,Acarospora squamulosa,Acarospora squamulosa (Schrad.) Trevis.,,,,
ACFU3,Acarospora fuscescens,Acarospora fuscescens H. Magn.,cracked lichen,,Acarosporaceae,
ACGA2,Acarospora gallica,Acarospora gallica H. Magn.,Gallic cracked lichen,,Acarosporaceae,
ACGE4,Acarospora geogena,Acarospora geogena H. Magn.,cracked lichen,,Acarosporaceae,
ACGE6,Acarospora geophila,Acarospora geophila H. Magn.,,,,
ACGE5,Acrocordia gemmata,Acrocordia gemmata (Ach.) A. Massal.,acrocordia lichen,,Monoblastiaceae,
ARAL21,Arthopyrenia alba,Arthopyrenia alba (Schrad.) Zahlbr.,,,,
ARGE4,Arthopyrenia gemmata,Arthopyrenia gemmata (Ach.) A. Massal.,,,,
ARSP12,Arthopyrenia sphaeroides,Arthopyrenia sphaeroides (Wallr.) Zahlbr.,,,,
ACGE8,Acacia genistifolia,Acacia genistifolia Link,early wattle,,Fabaceae,
ACDI9,Acacia diffusa,Acacia diffusa Lindl.,,,,
ACGI,Acer ginnala,Acer ginnala Maxim.,Amur maple,,Aceraceae,
ACTAG,Acer tataricum,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,,,
ACGL,Acer glabrum,Acer glabrum Torr.,Rocky Mountain maple,Rocky Mountain Maple,Aceraceae,
ACGL2,Acarospora glaucocarpa,Acarospora glaucocarpa (Ach.) Körb.,cracked lichen,,Acarosporaceae,
ACGL5,Acacia gladiiformis,Acacia gladiiformis A. Cunn. ex Benth.,,,Fabaceae,
ACGL6,Acacia glandulicarpa,Acacia glandulicarpa Reader,,,Fabaceae,
ACGL7,Acaciella glauca,Acaciella glauca (L.) L. Rico,acacia,,Fabaceae,
ACGL4,Acacia glauca,Acacia glauca (L.) Moench,,,,
ACVI8,Acacia villosa,Acacia villosa (Sw.) Willd.,,,,
ACGLD3,Acer glabrum,Acer glabrum Torr. var. diffusum (Greene) Smiley,Rocky Mountain maple,Rocky Mountain Maple,Aceraceae,
ACDI,Acer diffusum,Acer diffusum Greene,,,,
ACGLD,Acer glabrum,Acer glabrum Torr. ssp. diffusum (Greene) A.E. Murray,,Rocky Mountain Maple,,
ACGLD4,Acer glabrum,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple,Rocky Mountain Maple,Aceraceae,
ACDO,Acer douglasii,Acer douglasii Hook.,,,,
ACGLD2,Acer glabrum,Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael,,Rocky Mountain Maple,,
ACGLG,Acer glabrum,Acer glabrum Torr. var. greenei Keller,Greene's maple,Rocky Mountain Maple,Aceraceae,
ACGLG2,Acer glabrum,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Rocky Mountain Maple,Aceraceae,
ACGLT3,Acer glabrum,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Rocky Mountain Maple,,
ACGLT4,Acer glabrum,Acer glabrum Torr. var. typicum (Wesmael) Keller,,Rocky Mountain Maple,,
ACTR3,Acer tripartitum,Acer tripartitum Nutt. ex Torr. & A. Gray,,,,
ACGLN2,Acer glabrum,Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles,New Mexico maple,Rocky Mountain Maple,Aceraceae,
ACGLN,Acer glabrum,Acer glabrum Torr. ssp. neomexicanum (Greene) A.E. Murray,,Rocky Mountain Maple,,
ACGLP,Acer glabrum,Acer glabrum Torr. var. parviflorum A.E. Murray,,Rocky Mountain Maple,,
ACNE6,Acer neomexicanum,Acer neomexicanum Greene,,,,
ACGLT2,Acer glabrum,Acer glabrum Torr. var. torreyi (Greene) Smiley,Torrey maple,Rocky Mountain Maple,Aceraceae,
ACGLT,Acer glabrum,Acer glabrum Torr. ssp. torreyi (Greene) A.E. Murray,,Rocky Mountain Maple,,
ACTO2,Acer torreyi,Acer torreyi Greene,,,,
ACGR12,Achillea grandifolia,Achillea grandifolia Friv.,,,Asteraceae,
ACGR14,Acer griseum,Acer griseum (Franch.) Pax,paperbark maple,,Aceraceae,
ACGR15,Acorus gramineus,Acorus gramineus Sol. ex Aiton,grassleaf sweet flag,,Acoraceae,
ACGR17,Acmella grandiflora,Acmella grandiflora (Turcz.) R.K. Jansen,,,Asteraceae,
ACGR2,Acalypha gracilens,Acalypha gracilens A. Gray,slender threeseed mercury,Slender Three-Seed-Mercury,Euphorbiaceae,FAC
ACGRD,Acalypha gracilens,Acalypha gracilens A. Gray var. delzii L. Mill.,,Slender Three-Seed-Mercury,,FAC
ACGRF,Acalypha gracilens,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Slender Three-Seed-Mercury,,FAC
ACVIG,Acalypha virginica,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Virginia Three-Seed-Mercury,,FACU
ACGR3,Acer grandidentatum,Acer grandidentatum Nutt.,bigtooth maple,Canyon Maple,Aceraceae,
ACGR9,Acacia gracilifolia,Acacia gracilifolia Maiden & Blakely,graceful wattle,,Fabaceae,
ACGRG,Acer grandidentatum,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Canyon Maple,Aceraceae,
ACSAG2,Acer saccharum,Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais,,Sugar Maple,,FACU
ACSAG3,Acer saccharum,Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.,,Sugar Maple,,FACU
SAGR17,Saccharodendron grandidentatum,Saccharodendron grandidentatum (Nutt.) Nieuwl.,,,,
ACGRS,Acer grandidentatum,Acer grandidentatum Nutt. var. sinuosum (Rehder) Little,canyon maple,Canyon Maple,Aceraceae,
ACBR,Acer brachypterum,Acer brachypterum Wooton & Standl.,,,,
ACGRB,Acer grandidentatum,Acer grandidentatum Nutt. var. brachypterum (Wooton & Standl.) Palmer,,Canyon Maple,,
ACSAB,Acer saccharum,Acer saccharum Marshall ssp. brachypterum (Wooton & Standl.) A.E. Murray,,Sugar Maple,,FACU
ACSAS3,Acer saccharum,Acer saccharum Marshall var. sinuosum (Rehder) Sarg.,,Sugar Maple,,FACU
ACSI3,Acer sinuosum,Acer sinuosum Rehder,,,,
ACHA3,Acarospora hassei,Acarospora hassei Herre,Hasse's cracked lichen,,Acarosporaceae,
ACHA4,Acacia hakeoides,Acacia hakeoides A. Cunn. ex Benth.,,,Fabaceae,
ACHE10,Achnatherum hendersonii,Achnatherum hendersonii (Vasey) Barkworth,Henderson's needlegrass,,Poaceae,
ORHE,Oryzopsis hendersonii,Oryzopsis hendersonii Vasey,,,,
STHE5,Stipa hendersonii,Stipa hendersonii (Vasey) Muhl.,,,,
ACHE11,Acrolejeunea heterophylla,Acrolejeunea heterophylla (A. Evans) Grolle & Gradst.,,,Lejeuneaceae,
ACHE12,Acacia hemiteles,Acacia hemiteles Benth.,,,Fabaceae,
ACGR10,Acacia graffiana,Acacia graffiana F. Muell.,,,,
ACHE6,Acarospora heppii,Acarospora heppii (Nageli ex Hepp) Nageli ex Körb.,Hepp's cracked lichen,,Acarosporaceae,
ACHE7,Acarospora heufleriana,Acarospora heufleriana Körb.,Heufler's cracked lichen,,Acarosporaceae,
ACHE9,Acronychia heterophylla,Acronychia heterophylla A. Gray,,,Rutaceae,
ACHI,Acanthospermum hispidum,Acanthospermum hispidum DC.,hispid starbur,,Asteraceae,
ACHI2,Acalypha hispida,Acalypha hispida Burm. f.,red-hot cat's tail,,Euphorbiaceae,
ACHI6,Acarospora hilaris,Acarospora hilaris (Dufour) Hue,cracked lichen,,Acarosporaceae,
ACHIL,Achillea L.,Achillea L.,yarrow,,Asteraceae,
ACHLY,Achlys DC.,Achlys DC.,achlys,,Berberidaceae,
ACHNA,Achnatherum P.,Achnatherum P. Beauv.,needlegrass,,Poaceae,
?ACHNE,×Achnella Barkworth,×Achnella Barkworth,ricegrass,,Poaceae,
ACHO2,Acacia holosericea,Acacia holosericea A. Cunn. ex G. Don,candelabra wattle,,Fabaceae,
ACHO5,Acacia howittii,Acacia howittii F. Muell.,sticky wattle,,Fabaceae,
ACHU,Acanthospermum humile,Acanthospermum humile (Sw.) DC.,low starbur,,Asteraceae,
MEHU5,Melampodium humile,Melampodium humile Sw.,,,,
ACHY,Achnatherum hymenoides,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Indian Rice Grass,Poaceae,
ERCU9,Eriocoma cuspidata,Eriocoma cuspidata Nutt.,,,,
ORHY,Oryzopsis hymenoides,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,,,
STHY6,Stipa hymenoides,Stipa hymenoides Roem. & Schult.,,,,
